"";"ring";"early troph";"late troph";"schizont";"early gam";"mature gam";"ookinete"
"PF3D7_0100100.1";3,874117;2,248539;2,12997;1,319163;1,1015;0,477622;0,118472
"PF3D7_0100200.1";2,331851;1,293034;2,132169;0;2,169311;1,035864;2,372598
"PF3D7_0100300.1";1,841389;0,356828;0,75446;0,833329;0,447261;0,265984;0
"PF3D7_0100400.1";8,554553;6,821439;17,383599;0,000169;2,86901;6,500884;1,313155
"PF3D7_0100600.1";1,482446;1,396293;0,292558;0;9,540973;1,897346;0,233843
"PF3D7_0100800.1";0,312955;1,75843;0;0;0;1,758708;0
"PF3D7_0100900.1";0,26103;6,803152;0,437907;0;1,030232;0,413624;0
"PF3D7_0101000.1";0,798385;0;0;0;0;4e-06;0
"PF3D7_0101100.1";3,317122;0,048905;0,282676;0,121743;2,320585;5,85463;0
"PF3D7_0101200.1";4,659103;3,682199;0,313098;0;0;0,2375;0
"PF3D7_0101300.1";2,749998;79,730714;0,799452;0;3,303513;2e-06;6,979607
"PF3D7_0101400.1";1,844865;2,204001;0;0;7,3e-05;4e-05;0
"PF3D7_0101500.1";4,263112;0,100926;1,963126;0;1,920921;0,58749;0
"PF3D7_0101600.1";1,193374;4,774797;1,530006;2e-06;1,481604;2,815119;0
"PF3D7_0101700.1";2,554243;0,01805;0;0;2,7e-05;0;0
"PF3D7_0101800.1";0,419338;4,259446;0;0;0;1e-06;0
"PF3D7_0101900.1";2,587487;0,599874;3,500651;9,556249;0;0,000169;0
"PF3D7_0102000.1";5,644898;2,844284;0;0;0;0,645568;0
"PF3D7_0102100.1";5,162574;1,869608;0,137652;0;0;0;0
"PF3D7_0102200.1";169,57824;24,496836;535,082479;196,793705;6,679563;3,412682;182,136047
"PF3D7_0102300.1";16,078405;50,484386;260,452943;281,839856;64,193958;31,886925;11,483294
"PF3D7_0102400.1";2,838059;2,50294;8,975628;36,677692;46,201403;145,934446;14,449118
"PF3D7_0102500.1";6,139427;1,595142;93,956865;56,573926;8,984108;5,237973;69,61675
"PF3D7_0102600.1";6,129551;52,981916;5,062974;0,611477;10,5942;10,789488;23,650642
"PF3D7_0102700.1";16,113502;9,536739;20,894976;9,350492;20,882875;43,884413;140,770434
"PF3D7_0102800.1";9,315878;10,380975;23,735902;59,700209;22,931754;81,310301;72,2991
"PF3D7_0102900.1";52,741261;186,255047;114,247054;70,227575;62,412939;29,452609;33,688863
"PF3D7_0103000.1";3,318219;2,529673;34,880994;179,055362;102,830313;71,929592;148,347449
"PF3D7_0103100.1";6,568089;1,942716;35,320121;33,927606;6,406947;37,30053;20,207466
"PF3D7_0103200.1";25,811828;318,297038;174,658366;158,093378;391,522759;239,832648;56,414771
"PF3D7_0103300.1";45,773135;63,554737;49,88041;40,552811;12,879513;19,801641;28,822492
"PF3D7_0103400.1";7,67849;86,47199;100,736783;98,726374;23,709318;150,325703;171,439574
"PF3D7_0103500.1";3,927088;3,703319;14,156528;11,166077;10,425155;15,415465;7,036663
"PF3D7_0103600.1";11,197481;36,082691;37,195327;14,989818;28,578206;65,827279;31,222504
"PF3D7_0103700.1";4,885644;8,458854;16,18979;4,752207;17,259159;49,322187;37,756349
"PF3D7_0103800.1";2,083012;1,467887;32,147113;24,684307;224,158771;406,170408;50,62551
"PF3D7_0103900.1";5,414755;23,281852;64,030786;44,165017;11,052151;160,958275;33,37926
"PF3D7_0104000.1";7,547387;5,651648;19,869896;96,761175;159,20215;351,15297;37,791877
"PF3D7_0104100.1";2,297163;1,053559;98,708199;794,205905;3,519237;22,615088;6,797625
"PF3D7_0104200.1";13,625256;274,538322;320,308104;475,196322;83,6246;40,797601;80,318552
"PF3D7_0104300.1";77,324994;112,556171;100,25191;75,960267;17,527502;29,15993;29,375991
"PF3D7_0104400.1";6,576882;26,382113;77,704492;67,550236;41,895943;96,633719;203,068223
"PF3D7_0104500.1";82,32809;108,979419;113,346665;15,477228;268,303346;215,053971;30,48621
"PF3D7_0104600.1";5,022644;13,941642;8,410145;1,433111;10,893999;18,866123;0,63432
"PF3D7_0104700.1";2,802052;1,10524;1,32842;0;5,315076;8,526425;33,295698
"PF3D7_0104800.1";9,212558;7,44228;53,301037;87,642277;77,050734;117,598542;70,250939
"PF3D7_0105100.1";4,938137;2,539655;13,835817;26,258483;6,523165;21,489887;15,929454
"PF3D7_0105200.1";11,354227;63,712402;81,696317;35,236487;22,265271;42,564962;32,735654
"PF3D7_0105300.1";21,717948;3,934625;493,498693;1212,845199;503,064124;314,835091;88,462192
"PF3D7_0105400.1.1";4,033347;3,622161;40,183417;231,874807;169,676241;115,446391;45,10813
"PF3D7_0105400.2.1";0,256331;5,4e-05;20,521439;6,652761;104,848794;34,249603;7,242881
"PF3D7_0105500.1";3,523876;4,656492;11,982459;10,671903;8,007277;20,793259;7,117979
"PF3D7_0105600.1";29,068674;36,888255;36,408155;35,440791;22,578215;26,729045;33,962301
"PF3D7_0105700.1";5,640517;7,218173;48,806776;37,701385;39,923888;99,910925;464,004426
"PF3D7_0105800.1";5,132999;4,89724;119,616522;190,75309;26,672323;53,260295;48,63934
"PF3D7_0105900.1";7,297829;9,162812;44,468495;62,458508;49,613777;198,108879;51,856023
"PF3D7_0106000.1";7,850507;13,081957;78,576052;140,140544;6,168697;27,993831;36,641395
"PF3D7_0106100.1";24,069168;91,713838;133,982109;104,255413;22,203938;31,502141;9,329796
"PF3D7_0106200.1";18,977414;6,537387;46,536594;81,563318;22,745311;92,025823;88,778119
"PF3D7_0106300.1";87,781827;162,423605;418,443311;979,926508;54,940737;27,486271;59,038352
"PF3D7_0106400.1";157,651641;95,582291;42,959857;3,288055;391,077971;1295,291619;107,651095
"PF3D7_0106500.1";5,754334;1,892007;22,918365;17,338478;6,069729;28,061556;60,022415
"PF3D7_0106600.1";5,463122;0,493497;5,002002;6,643116;4,011936;4,776371;20,221896
"PF3D7_0106700.1";127,372028;130,394455;75,961375;70,89299;12,138572;22,649664;49,844898
"PF3D7_0106800.1";6,515296;45,147327;269,800208;329,75037;348,755767;277,16745;65,758457
"PF3D7_0106900.1";4,020455;4,782092;38,314588;59,749252;14,641576;49,735261;68,584204
"PF3D7_0107000.1.1";2,776965;14,812334;431,079859;290,72515;1391,344043;1014,391876;518,745257
"PF3D7_0107100.1";3,800066;15,174535;31,567603;15,060628;15,035985;22,839001;24,372944
"PF3D7_0107200.1";2,711045;5,554059;25,548912;6,731747;59,840991;25,321332;13,336722
"PF3D7_0107300.1";3,189353;1,728433;6,084474;6,503073;10,029565;175,804698;137,986296
